,id,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,0,Lo Scopettaro,8.6,123,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
1,1,L'Osteria della Trippa,7.7,59,"Via Goffredo Mameli, 15 Trastevere, 00153 Roma Italia",+39 06 4555 4475,"{'dom': ['12:00', '14:30'], 'lun': ['19:00', '22:30'], 'mer': ['19:00', '22:30'], 'gio': ['18:30', '22:30'], 'ven': ['12:00', '14:30'], 'sab': ['12:00', '14:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Serve alcolici', 'Servizio al tavolo']",,
2,2,La Ciambella,6.6,9,"Via dell'Arco della Ciambella, 20, 00186 Roma Italia",+39 06 683 2930,"{'dom': ['12:00', '23:00'], 'lun': ['12:00', '23:00'], 'gio': ['12:00', '23:00'], 'ven': ['12:00', '23:00'], 'sab': ['12:00', '23:00']}",€€-€€€,"['Prenotazioni', 'Cena in sala privata', 'Posti a sedere', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani', 'Ristoranti non fumatori']","Una storia di bontà raccontata tutto il giorno. Dalla gastronomia salata, al pranzo veloce ma sempre espresso, fino alla cena, senza soluzione di continuità: un viaggio tra sapori rassicuranti e sorprendenti. E tutto con un filo conduttore: la materia prima.",
3,3,Osteria La Sol Fa,6.4,40,"Via Germano Sommeiller 19 incrocio via Santa Croce in Gerusalemme, 00185 Roma Italia",+39 06 702 7996,"{'lun': ['12:30', '14:30'], 'mar': ['12:30', '14:30'], 'mer': ['12:30', '14:30'], 'gio': ['12:30', '14:30'], 'ven': ['12:30', '14:30'], 'sab': ['12:30', '14:30']}",€€-€€€,"['Consegna a domicilio', 'Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Diritto di tappo', 'Ammette i cani', 'Stile familiare', 'Ristoranti non fumatori']","Tra San Giovanni e Porta Maggiore c’è Santa Croce in Gerusalemme, e proprio lì che ce trovi la nostra Osteria. In cucina er coco Claudio e la brigata prepareno i classici della cucina romana, che lui ha imparato da mamma Carla (fija d’oste pure lei); in più, utilizzando i prodotti di stagione della regione, ogni giorno trovi ‘na ricetta diversa. In sala l’oste Flavio e il resto della cricca te aiutano a sceje e a fatte sentì a casa, in un ambiente informale dove papà Raimondo c’ha messo lo zampino nell’arredo. Co tre note se magna e se beve e se respira aria de famija!",['Opzioni senza glutine']
4,4,Antica Osteria Rugantino,6.2,45,"Via della Lungaretta 54, 00153 Roma Italia",+39 06 581 8517,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"[""Tavoli all'esterno"", 'Accetta carte di credito']",,['Per vegetariani']
5,5,Trattoria Dal Cordaro,6.2,34,"Piazzale Portuense 4, 00153 Roma Italia",+39 06 583 6751,"{'lun': ['19:30', '22:30'], 'mar': ['19:30', '22:30'], 'mer': ['19:30', '22:30'], 'gio': ['19:30', '22:30'], 'ven': ['19:30', '22:30'], 'sab': ['19:30', '22:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Area parcheggio gratuita', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Accetta carte di credito', 'Servizio al tavolo', 'Buoni regalo disponibili']","La Trattoria Dal Cordaro è una delle più antiche trattorie di Roma tanto da essere considerata il tempio della cucina romana dal 1922. Se cercate un pasto tradizionale, un'ospitalità familiare e una splendida location storica, la Trattoria dal Cordaro è il vostro ristorante. Non vediamo l'ora di ospitarvi.",
6,6,Dar Bello de Nonna,6.2,45,"Via Quirino Majorana, 172 500mt dalla Stazione Trastevere, 00152 Roma Italia",+39 320 392 5244,"{'dom': ['12:30', '15:00'], 'mar': ['19:30', '23:00'], 'mer': ['19:30', '23:00'], 'gio': ['19:30', '23:00'], 'ven': ['19:30', '23:00'], 'sab': ['19:30', '23:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Accetta carte di credito', 'Servizio al tavolo']","Osteria tipica di Cucina Romana dove riproponiamo tutte le ricette di famiglia. Il nostro intento è quello di offrire sempre un ottimo servizio, abbinato ad ottima qualità e freschezza dei prodotti. La conduzione familiare fa la differenza dagli altri. Se vuoi conoscere la cucina romana non puoi non averci provato.",
7,7,La Fraschetta di Castel Sant'angelo,6.1,43,"Via del Banco di Santo Spirito 20, 00186 Roma Italia",+39 06 6830 7661,"{'lun': ['12:00', '23:00'], 'mar': ['12:00', '23:00'], 'mer': ['12:00', '23:00'], 'gio': ['12:00', '23:00'], 'ven': ['12:00', '23:00'], 'sab': ['12:00', '23:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","La Fraschetta è un posto del cuore, dove la tradizione romana regna sovrana. Siamo un gruppo di giovani appassionati al nostro lavoro, cerchiamo di far sentire a casa i nostri clienti deliziandoli con una cucina genuina.",['Per vegetariani']
8,8,Da Tonino,6.0,38,"Via del Governo Vecchio, 18-19, 00186 Roma Italia",+39 333 587 0779,"{'lun': ['12:00', '15:00'], 'mar': ['12:00', '15:00'], 'mer': ['12:00', '15:00'], 'gio': ['12:00', '15:00'], 'ven': ['12:00', '15:00'], 'sab': ['12:00', '15:00']}",€,"['Posti a sedere', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
9,9,Romanè,5.9,17,"Via Cipro 106 via Cipro 106, 00136 Roma Italia",+39 340 784 5281,"{'dom': ['12:00', '0:30'], 'lun': ['12:00', '0:30'], 'mar': ['12:00', '0:30'], 'mer': ['12:00', '0:30'], 'gio': ['12:00', '0:30'], 'ven': ['12:00', '0:30'], 'sab': ['12:00', '0:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Area parcheggio gratuita', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani', 'Ristoranti non fumatori']","Nasce Romanè: il primo ristorante di Stefano Callegari, il Re del Trapizzino.",['Opzioni vegane']
